-1: Logger is currently incomplete.  Delete this file if you see this line.
-1: Resolution 968.0 576.0
9.158: RightPaddle 9.9E-324 9.9E-324
9.258: LeftPaddle 684.0 99.0
9.258: RightPaddle 9.9E-324 9.9E-324
9.258: MeDeflect 8
9.258: Score increased to 6
9.358: LeftPaddle 537.0 201.0
9.358: RightPaddle 9.9E-324 9.9E-324
9.458: LeftPaddle 522.0 201.0
9.458: RightPaddle 9.9E-324 9.9E-324
9.558: LeftPaddle 531.0 201.0
9.558: RightPaddle 9.9E-324 9.9E-324
9.657: LeftPaddle 672.0 126.0
9.657: RightPaddle 9.9E-324 9.9E-324
9.659: MeSpawn 800.9849653271197 5 9 rectangle
9.758: LeftPaddle 735.0 -9.0
9.758: RightPaddle 9.9E-324 9.9E-324
9.859: LeftPaddle 594.0 -12.0
9.859: RightPaddle 9.9E-324 9.9E-324
9.958: LeftPaddle 456.0 57.0
9.958: RightPaddle 9.9E-324 9.9E-324
10.057: LeftPaddle 465.0 168.0
10.057: RightPaddle 9.9E-324 9.9E-324
10.157: LeftPaddle 612.0 168.0
10.157: RightPaddle 9.9E-324 9.9E-324
10.248: LeftPaddle 681.0 168.0
10.248: RightPaddle 9.9E-324 9.9E-324
10.359: LeftPaddle 771.0 168.0
10.359: RightPaddle 9.9E-324 9.9E-324
10.459: LeftPaddle 882.0 252.0
10.459: RightPaddle 9.9E-324 9.9E-324
10.558: LeftPaddle 831.0 393.0
10.558: RightPaddle 9.9E-324 9.9E-324
10.656: LeftPaddle 714.0 393.0
10.656: RightPaddle 9.9E-324 9.9E-324
10.656: MeSpawn 917.6813526115022 4 10 circle
10.758: LeftPaddle 714.0 393.0
10.758: RightPaddle 9.9E-324 9.9E-324
10.857: LeftPaddle 759.0 393.0
10.857: RightPaddle 9.9E-324 9.9E-324
10.939: MeDeflect 9
10.957: LeftPaddle 759.0 393.0
10.957: RightPaddle 9.9E-324 9.9E-324
11.057: LeftPaddle 759.0 393.0
11.057: RightPaddle 9.9E-324 9.9E-324
11.157: LeftPaddle 807.0 393.0
11.157: RightPaddle 9.9E-324 9.9E-324
11.259: LeftPaddle 912.0 276.0
11.259: RightPaddle 9.9E-324 9.9E-324
11.359: LeftPaddle 912.0 135.0
11.359: RightPaddle 9.9E-324 9.9E-324
11.359: MeDeflect 10
11.359: Score increased to 7
11.457: LeftPaddle 912.0 126.0
11.457: RightPaddle 9.9E-324 9.9E-324
11.558: LeftPaddle 909.0 225.0
11.558: RightPaddle 9.9E-324 9.9E-324
11.657: LeftPaddle 762.0 372.0
11.657: RightPaddle 9.9E-324 9.9E-324
11.657: MeSpawn 371.9129544463726 3 11 polygon
11.758: LeftPaddle 621.0 390.0
11.758: RightPaddle 9.9E-324 9.9E-324
11.859: LeftPaddle 498.0 270.0
11.859: RightPaddle 9.9E-324 9.9E-324
11.958: LeftPaddle 642.0 219.0
11.958: RightPaddle 9.9E-324 9.9E-324
12.059: LeftPaddle 606.0 219.0
12.059: RightPaddle 9.9E-324 9.9E-324
12.155: LeftPaddle 459.0 318.0
12.155: RightPaddle 9.9E-324 9.9E-324
12.258: LeftPaddle 309.0 408.0
12.258: RightPaddle 9.9E-324 9.9E-324
12.358: LeftPaddle 309.0 390.0
12.358: RightPaddle 9.9E-324 9.9E-324
12.458: LeftPaddle 387.0 321.0
12.458: RightPaddle 9.9E-324 9.9E-324
12.558: LeftPaddle 444.0 321.0
12.558: RightPaddle 9.9E-324 9.9E-324
12.657: LeftPaddle 414.0 321.0
12.657: RightPaddle 9.9E-324 9.9E-324
12.657: MeSpawn 298.21393243959017 3 12 polygon
12.758: LeftPaddle 276.0 234.0
12.758: RightPaddle 9.9E-324 9.9E-324
12.85: LeftPaddle 276.0 153.0
12.85: RightPaddle 9.9E-324 9.9E-324
12.958: LeftPaddle 297.0 153.0
12.958: RightPaddle 9.9E-324 9.9E-324
13.059: LeftPaddle 336.0 258.0
13.059: RightPaddle 9.9E-324 9.9E-324
13.059: MeDeflect 11
13.153: LeftPaddle 336.0 291.0
13.153: RightPaddle 9.9E-324 9.9E-324
13.25: LeftPaddle 336.0 291.0
13.25: RightPaddle 9.9E-324 9.9E-324
13.359: LeftPaddle 306.0 219.0
13.359: RightPaddle 9.9E-324 9.9E-324
13.458: LeftPaddle 198.0 126.0
13.458: RightPaddle 9.9E-324 9.9E-324
13.554: LeftPaddle 198.0 126.0
13.554: RightPaddle 9.9E-324 9.9E-324
13.659: LeftPaddle 315.0 126.0
13.659: RightPaddle 9.9E-324 9.9E-324
13.659: MeSpawn 330.1792174387805 6 13 square
13.747: LeftPaddle 333.0 198.0
13.747: RightPaddle 9.9E-324 9.9E-324
13.859: LeftPaddle 333.0 198.0
13.859: RightPaddle 9.9E-324 9.9E-324
13.959: LeftPaddle 270.0 198.0
13.959: RightPaddle 9.9E-324 9.9E-324
14.05: LeftPaddle 246.0 198.0
14.05: RightPaddle 9.9E-324 9.9E-324
14.158: LeftPaddle 357.0 198.0
14.158: RightPaddle 9.9E-324 9.9E-324
14.258: LeftPaddle 357.0 198.0
14.258: RightPaddle 9.9E-324 9.9E-324
14.355: LeftPaddle 357.0 198.0
14.355: RightPaddle 9.9E-324 9.9E-324
14.459: LeftPaddle 336.0 198.0
14.459: RightPaddle 9.9E-324 9.9E-324
14.558: LeftPaddle 234.0 249.0
14.558: RightPaddle 9.9E-324 9.9E-324
14.659: LeftPaddle 234.0 387.0
14.659: RightPaddle 9.9E-324 9.9E-324
14.659: MeSpawn 805.3894670018191 5 14 rectangle
14.759: LeftPaddle 300.0 414.0
14.759: RightPaddle 9.9E-324 9.9E-324
14.778: MeDeflect 13
14.778: Score increased to 8
14.859: LeftPaddle 333.0 414.0
14.859: RightPaddle 9.9E-324 9.9E-324
14.953: LeftPaddle 333.0 414.0
14.953: RightPaddle 9.9E-324 9.9E-324
15.051: LeftPaddle 333.0 414.0
15.051: RightPaddle 9.9E-324 9.9E-324
15.157: LeftPaddle 378.0 414.0
15.157: RightPaddle 9.9E-324 9.9E-324
15.258: LeftPaddle 519.0 414.0
15.258: RightPaddle 9.9E-324 9.9E-324
15.359: LeftPaddle 660.0 414.0
15.359: RightPaddle 9.9E-324 9.9E-324
15.457: LeftPaddle 723.0 291.0
15.457: RightPaddle 9.9E-324 9.9E-324
15.559: LeftPaddle 723.0 231.0
15.559: RightPaddle 9.9E-324 9.9E-324
15.658: LeftPaddle 753.0 231.0
15.658: RightPaddle 9.9E-324 9.9E-324
15.658: MeSpawn 141.6230592027449 4 15 circle
15.757: LeftPaddle 855.0 294.0
15.757: RightPaddle 9.9E-324 9.9E-324
15.858: LeftPaddle 813.0 438.0
15.858: RightPaddle 9.9E-324 9.9E-324
15.958: LeftPaddle 669.0 459.0
15.958: RightPaddle 9.9E-324 9.9E-324
16.056: LeftPaddle 522.0 459.0
16.056: RightPaddle 9.9E-324 9.9E-324
16.158: LeftPaddle 375.0 459.0
16.158: RightPaddle 9.9E-324 9.9E-324
16.258: LeftPaddle 231.0 354.0
16.258: RightPaddle 9.9E-324 9.9E-324
16.359: LeftPaddle 81.0 204.0
16.359: RightPaddle 9.9E-324 9.9E-324
16.458: LeftPaddle 72.0 126.0
16.458: RightPaddle 9.9E-324 9.9E-324
16.558: LeftPaddle 114.0 126.0
16.558: RightPaddle 9.9E-324 9.9E-324
16.639: MeDeflect 15
16.639: Score increased to 9
16.658: LeftPaddle 129.0 234.0
